"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5497","test","SwagLabsSuite","Fri Sep 05 21:12:46 GMT 2025","passed","Fri Sep 05 21:12:52 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","test"
"Verify adding an item to the cart updates the cart count","10441","testAddItemToCart","SwagLabsSuite","Fri Sep 05 21:21:40 GMT 2025","passed","Fri Sep 05 21:21:50 GMT 2025","com.swaglabs.tests.CartTests","AllTests","com.swaglabs.tests.CartTests","testAddItemToCart"
"Verify login functionality with various credentials","9984","testLogin","SwagLabsSuite","Fri Sep 05 21:15:46 GMT 2025","passed","Fri Sep 05 21:15:56 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","testLogin"
"","0","setup","SwagLabsSuite","Fri Sep 05 21:10:51 GMT 2025","broken","Fri Sep 05 21:10:51 GMT 2025","com.swaglabs.tests.LogoutTests","AllTests","com.swaglabs.tests.LogoutTests","setup"
"Verify checkout process with various form inputs","7334","testCheckoutProcess","SwagLabsSuite","Fri Sep 05 21:26:50 GMT 2025","passed","Fri Sep 05 21:26:57 GMT 2025","com.swaglabs.tests.CheckoutTests","AllTests","com.swaglabs.tests.CheckoutTests","testCheckoutProcess"
"Verify logout functionality after successful login","9276","testLogout","SwagLabsSuite","Fri Sep 05 21:29:59 GMT 2025","passed","Fri Sep 05 21:30:08 GMT 2025","com.swaglabs.tests.LogoutTests","AllTests","com.swaglabs.tests.LogoutTests","testLogout"
"Verify removing an item from the cart updates the cart count","21209","testAddAndRemoveFromCart","SwagLabsSuite","Fri Sep 05 21:20:23 GMT 2025","passed","Fri Sep 05 21:20:44 GMT 2025","com.swaglabs.tests.CartTests","AllTests","com.swaglabs.tests.CartTests","testAddAndRemoveFromCart"
"Verify login functionality with various credentials","9220","testLogin","SwagLabsSuite","Fri Sep 05 21:18:25 GMT 2025","passed","Fri Sep 05 21:18:34 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","testLogin"
"","0","setup","SwagLabsSuite","Fri Sep 05 21:10:51 GMT 2025","broken","Fri Sep 05 21:10:51 GMT 2025","com.swaglabs.tests.CheckoutTests","AllTests","com.swaglabs.tests.CheckoutTests","setup"
"Verify login functionality with various credentials","10727","testLogin","SwagLabsSuite","Fri Sep 05 21:13:55 GMT 2025","passed","Fri Sep 05 21:14:06 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","testLogin"
"","2","setup","SwagLabsSuite","Fri Sep 05 21:10:51 GMT 2025","broken","Fri Sep 05 21:10:51 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","setup"
"Verify login functionality with various credentials","11398","testLogin","SwagLabsSuite","Fri Sep 05 21:14:51 GMT 2025","passed","Fri Sep 05 21:15:03 GMT 2025","com.swaglabs.tests.LoginTests","AllTests","com.swaglabs.tests.LoginTests","testLogin"
"","1","setup","SwagLabsSuite","Fri Sep 05 21:10:51 GMT 2025","broken","Fri Sep 05 21:10:51 GMT 2025","com.swaglabs.tests.CartTests","AllTests","com.swaglabs.tests.CartTests","setup"
